Segment Code	Frequency	Freq_Percentage
7727	454108	0.3506%
319	525721	0.4059%
318	534933	0.4131%
313	174897	0.1350%
312	162743	0.1257%
311	164062	0.1267%
310	267390	0.2065%
317	228239	0.1762%
316	637696	0.4924%
315	135320	0.1045%
314	117709	0.0909%
23300	11377	0.0088%
23302	20221	0.0156%
23305	50957	0.0393%
23306	11601	0.0090%
1335	785	0.0006%
1334	116	0.0001%
1337	167	0.0001%
440	690	0.0005%
447	1354	0.0010%
446	166	0.0001%
16088	233702	0.1805%
16089	61098	0.0472%
1333	330	0.0003%
16083	244706	0.1890%
444	300	0.0002%
16086	254800	0.1967%
16087	236098	0.1823%
16084	267587	0.2066%
16085	145161	0.1121%
6645	176748	0.1365%
6647	246013	0.1900%
3616	14952	0.0115%
3617	15845	0.0122%
3618	37659	0.0291%
3619	12736	0.0098%
6641	75927	0.0586%
9133	3135	0.0024%
9132	1748	0.0013%
9131	1297	0.0010%
9130	160	0.0001%
9137	2259	0.0017%
9136	1400	0.0011%
9135	3584	0.0028%
9134	743	0.0006%
9139	3818	0.0029%
9138	1523	0.0012%
13596	2802	0.0022%
6299	117670	0.0909%
13598	3185	0.0025%
5114	13500	0.0104%
5111	12641	0.0098%
5110	1127	0.0009%
5113	368	0.0003%
5112	18	0.0000%
2745	175	0.0001%
3094	9557	0.0074%
23148	257383	0.1987%
5201	149282	0.1153%
5200	113277	0.0875%
5203	281978	0.2177%
5202	160441	0.1239%
5205	201816	0.1558%
5204	229392	0.1771%
5207	128301	0.0991%
5206	61097	0.0472%
5208	197839	0.1528%
3098	591	0.0005%
1969	1420	0.0011%
3099	3249	0.0025%
1964	45	0.0000%
1965	111	0.0001%
1966	248	0.0002%
1967	69	0.0001%
13414	126598	0.0978%
1960	15	0.0000%
13415	52089	0.0402%
1961	363	0.0003%
5193	21849	0.0169%
339	90771	0.0701%
23322	5627	0.0043%
1913	46	0.0000%
5372	106	0.0001%
1678	37	0.0000%
1679	57	0.0000%
1674	106	0.0001%
1675	131	0.0001%
1676	41	0.0000%
1677	269	0.0002%
1670	293	0.0002%
1671	157	0.0001%
1672	611	0.0005%
1673	110	0.0001%
1094	87143	0.0673%
1095	253602	0.1958%
1096	55564	0.0429%
1097	106328	0.0821%
1098	406137	0.3136%
1099	205858	0.1590%
409	151	0.0001%
27525	8	0.0000%
27524	46	0.0000%
27527	91	0.0001%
27521	24	0.0000%
27520	295	0.0002%
14745	17	0.0000%
27522	105	0.0001%
14749	2974	0.0023%
14748	311	0.0002%
27529	3	0.0000%
27528	4	0.0000%
1322	1943	0.0015%
1323	1974	0.0015%
1326	444	0.0003%
1327	543	0.0004%
1324	1387	0.0011%
1325	4187	0.0032%
1328	20	0.0000%
1329	4074	0.0031%
5	458017	0.3537%
5568	56719	0.0438%
5569	38244	0.0295%
5566	59363	0.0458%
5567	93880	0.0725%
23172	151750	0.1172%
23173	103937	0.0803%
7739	438843	0.3389%
7738	329336	0.2543%
23177	70913	0.0548%
7733	489142	0.3777%
7732	250856	0.1937%
7731	463028	0.3575%
23179	21155	0.0163%
7737	394591	0.3047%
7736	371	0.0003%
7735	412855	0.3188%
7734	65820	0.0508%
308	372790	0.2879%
309	285651	0.2206%
1916	471	0.0004%
306	431734	0.3334%
307	413954	0.3196%
23318	2751	0.0021%
23312	26645	0.0206%
23316	32556	0.0251%
23317	2724	0.0021%
7425	36	0.0000%
7424	63	0.0000%
7423	2	0.0000%
7422	48	0.0000%
7421	89	0.0001%
7420	39973	0.0309%
5159	161020	0.1243%
71	7616	0.0059%
2779	128	0.0001%
70	2956	0.0023%
6600	22738	0.0176%
6601	47	0.0000%
6602	40696	0.0314%
6603	22330	0.0172%
6604	39880	0.0308%
6605	22108	0.0171%
6606	337617	0.2607%
6607	1073	0.0008%
6608	340341	0.2628%
